longitude,latitude,COUNTRY,ISO,COUNTRYAFF,AFF_ISO
13.797778364631036,47.631858269895794,Austria,AT,Austria,AT
4.675010154696485,50.61821389,Belgium,BE,Belgium,BE
25.251739122561908,42.82043677302438,Bulgaria,BG,Bulgaria,BG
16.625761129583374,44.91192100856702,Croatia,HR,Croatia,HR
15.383273292023533,49.74917370930982,Czech Republic,CZ,Czech Republic,CZ
9.378670542409406,56.00118817971057,Denmark,DK,Denmark,DK
25.916870250633806,58.648108311231034,Estonia,EE,Estonia,EE
25.65738433454702,65.01578959749911,Finland,FI,Finland,FI
2.1940236627886227,46.64236822,France,FR,France,FR
10.426171427430804,51.08304539800482,Germany,DE,Germany,DE
23.110368936161876,39.42012261727978,Greece,GR,Greece,GR
19.39620048366142,47.22527332486294,Hungary,HU,Hungary,HU
-19.05682967,65.12360920205514,Iceland,IS,Iceland,IS
12.763657166123137,42.98201127614267,Italy,IT,Italy,IT
24.693671325654403,56.813853047554154,Latvia,LV,Latvia,LV
23.946021605013534,55.29437393417175,Lithuania,LT,Lithuania,LT
6.103230338458876,49.77523454542369,Luxembourg,LU,Luxembourg,LU
5.554136426128487,52.134054128923886,Netherlands,NL,Netherlands,NL
19.43573279234468,52.06848055692473,Poland,PL,Poland,PL
-7.933662184,39.67529214702138,Portugal,PT,Portugal,PT
25.094158201563292,45.82454894397586,Romania,RO,Romania,RO
19.581015362490966,48.69808390520484,Slovakia,SK,Slovakia,SK
14.890636899973781,46.13759229564504,Slovenia,SI,Slovenia,SI
-3.651625141,40.365008336683836,Spain,ES,Spain,ES
17.062431988004956,62.73420986108448,Sweden,SE,Sweden,SE
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
